"description","locationCode","lat","lon","postalCode","houseNumber","city","open"
"Utrecht Terwijde","utt001","52.10017","5.04424","3451 ST","1","Vleuten","Yes"
"Eindhoven Noordzijde","ein001","51.443676","5.480101","5611 AD","2","Eindhoven","Yes"
"Brummen","bmn001","52.09104","6.14726","6971 BX",,"Brummen","Yes"
"Ermelo","eml001","52.30039","5.61434","3851 JB","46A","Ermelo","Unknown"
"Ravenstein","Rvs001","51.79464","5.637462","5371 BB","122","Ravenstein","Yes"
"Utrecht Vaartsche Rijn Oosterkade","UTVR001","52.078023","5.122392","3523 CA","103","Utrecht","Yes"
"Bergen op Zoom","bgn001","51.49517","4.29575","4611 BK","2","Bergen op Zoom","Yes"
"Lochem","lc001","52.16652","6.42582","7241 CV","1","Lochem","Yes"
"Schagen","sgn001","52.78558","4.80506","1741 GX","20","Schagen","Yes"
"Oldenzaal","odz001","52.3064","6.93371","7573 AT","9","Oldenzaal","Yes"
"Cuijk","ck001","51.72659","5.87423","5431 CE","2","Cuijk","Yes"
"Goes","gs003","51.49874","3.88823","4461 HP","21","Goes","Yes"
"Vroomshoop","vhp001","52.45748","6.57211","7681 BA",,"Vroomshoop","Yes"
"Best","bet001","51.50841","5.38957","5684 AA","3","Best","Yes"
"Winterswijk","ww001","51.96775","6.71545","7101 GH","17","Winterswijk","Yes"
"Amsterdam Bijlmer ArenA","asb003","52.311914","4.948114","1102 BT","12","Amsterdam","Yes"
"Utrecht Centraal Jaarbeursplein","ut016","52.08895","5.10756","3521 AL","14","Utrecht","Yes"
"Zuidhorn","Zh001","53.248163","6.406382","9801 AJ","5","Zuidhorn","Yes"
"Soestdijk","sd001","52.18376","5.29967","3761 AJ","3","Soest","Yes"
"Utrecht Vaartsche Rijn Oosterkade","ut019","52.078023","5.122392","3523 CA","103","Utrecht","Yes"
"Utrecht Janskerkhof","ut018","52.093019","5.121088","3512 BN","23","Utrecht","Yes"
"Utrecht Vredenburg","ut006","52.09261","5.11462","3511","104","Utrecht","Yes"
"Harderwijk","hd001","52.3377","5.619034","3844 KR","14","Harderwijk","Yes"
"Zwijndrecht","zwd002","51.81608","4.64041","3331 LL","1A","Zwijndrecht","Yes"
"Hengelo","hgl002","52.26239","6.7936","7551 CN","1","Hengelo","Yes"
"Maarheeze","mz001","51.30583","5.63594","6026 RB","2","Maarheeze","Yes"
"Den Haag HS","gv001","52.069582","4.320696","2515 BV","29","'s-Gravenhage","Yes"
"Heerhugowaard","hwd003","52.66929","4.82352","1704 WD","9","Heerhugowaard","Yes"
