description,locationCode,rentalBikes,fetchTime,open
Utrecht Terwijde,utt001,0,1688566571,Yes
Eindhoven Noordzijde,,86,1665662115,Yes
Brummen,bmn001,1,1688566571,Yes
Ermelo,eml001,0,1688566571,Unknown
Ravenstein,Rvs001,4,1688566571,Yes
Utrecht Vaartsche Rijn Oosterkade,UTVR001,54,1684854854,Yes
Bergen op Zoom,bgn001,19,1678694969,Yes
Lochem,lc001,6,1688566571,Yes
Schagen,sgn001,11,1688566571,Yes
Oldenzaal,odz001,0,1688566571,Yes
Cuijk,ck001,9,1688566571,Yes
Goes,gs003,15,1688566571,Yes
Vroomshoop,vhp001,4,1688566571,Yes
Best,bet001,7,1688566571,Yes
Winterswijk,ww001,5,1688566571,Yes
Amsterdam Bijlmer ArenA,asb003,0,1688566571,Yes
Utrecht Centraal Jaarbeursplein,ut016,503,1688566571,Yes
Zuidhorn,Zh001,8,1688566571,Yes
Soestdijk,sd001,3,1688566571,Yes
Utrecht Vaartsche Rijn Oosterkade,ut019,23,1683629913,Yes
Utrecht Janskerkhof,ut018,1,1688566571,Yes
Utrecht Vredenburg,ut006,29,1677604114,Yes
Harderwijk,hd001,34,1688566571,Yes
Zwijndrecht,zwd002,28,1675240492,Yes
Hengelo,hgl002,15,1688566571,Yes
Maarheeze,mz001,3,1688566571,Yes
Den Haag HS,gv001,43,1688566571,Yes
Heerhugowaard,hwd003,22,1688566571,Yes
Openbare fietsenstalling gemeente Groningen : Fietsenstalling Europapark,gerp002,23,1688566571,Yes
Deventer Boerhavelaan,dv003,20,1688566571,Yes
Uden,Ow002,6,1688566571,Yes
Deventer,dv001,90,1688566571,Yes
Steenwijk,swk001,10,1671526428,Yes
Helmond Brandevoort,hmbv001,3,1688566571,Yes
Den Helder Zuid,hdrz001,4,1688566571,Yes
"Leiden Centraal,Uitgang LUMC",ledn001,207,1688566571,Yes
Sneek,sk001,4,1688566571,Yes
Geldrop,Gp001,3,1688566571,Yes
Oudenbosch,odb001,3,1688566571,Yes
Anna Paulowna,ana001,2,1688566571,Yes
Horst Sevenum,hrt001,2,1688566571,Yes
Amersfoort Schothorst,amfs001,20,1688566571,Yes
Roosendaal,rsd003,47,1678695411,Yes
Roosendaal,rsd002,28,1688566571,Yes
OV-ebike Arnhem Centrum,ah003,10,1688566571,Yes
Gilze Rijen,gz001,5,1688566571,Yes
Emmen,emn001,22,1688566571,Yes
Halfweg Zwanenburg,hwzb001,5,1688566571,Yes
Hoorn Kersenboogerd,hnk001,0,1688566571,Yes
Hoorn,hn001,56,1688566571,Yes
Rotterdam Kralingse Zoom,Rta003,12,1688566571,Yes
Rhenen,rhn001,2,1688566571,Yes
Rijssen,rsn001,6,1688566571,Yes
Venlo,vl001,42,1688566571,Yes
Ommen,omn001,2,1688566571,Yes
Culemborg,cl002,13,1677764847,Yes
Culemborg,cl003,11,1688566571,Yes
Groningen Noord,Gnn001,0,1688566571,Yes
Culemborg,cl001,,1638967434,Yes
Voorburg,vb001,28,1675153509,Yes
Eindhoven Strijp-S,ehs001,1,1688566571,Yes
Haarlem Spaarnwoude,hlms001,4,1688566571,Yes
Dordrecht,ddr001,37,1688566571,Yes
Soest Zuid,stz001,4,1688566571,Yes
Haren,HRN002,4,1688566571,Unknown
Hollandse Rading OV-fiets Carrousel,hor001,19,1688566571,Yes
Utrecht P+R Westraven,ut007,6,1688566571,Yes
Maastricht Randwyck,mtr001,7,1688566571,Yes
Amsterdam Muiderpoort,asdm001,46,1688566571,Yes
Castricum,cas001,54,1667467212,Yes
Wolfheze,wf001,4,1688566571,Yes
Meerssen,mes001,4,1688566571,Yes
Maassluis,mss001,8,1688566571,Yes
Weesp,wp001,37,1688566571,Yes
Weert,wt003,12,1688566571,Yes
Vierlingsbeek,vlb001,6,1688566571,Yes
Amsterdam Sloterdijk,ass001,92,1688566571,Yes
Gorinchem,gr001,0,1688566571,Yes
Rotterdam Alexander,rta001,2,1688566571,Yes
Valkenburg,vk001,5,1688566571,Yes
Almelo,aml002,11,1688566571,Yes
Bloemendaal,bll001,1,1688566571,Yes
Etten-Leur,etn001,1,1688566571,Yes
Almelo,aml001,19,1678718208,Yes
Heiloo,hlo001,12,1688566571,Yes
Utrecht Mariaplaats,ut014,14,1677604114,Yes
Purmerend Overwhere,pmo001,2,1688566571,Yes
Doetinchem,dtc001,3,1688566571,Yes
Lelystad Centrum,lls002,15,1666626240,Yes
Nijmegen Goffert,nmgo001,5,1688566571,Yes
Zandvoort Zilt-Bikes,zvt002,,1642524080,Yes
Zwolle Hanzeland/Zuidzijde,zl002,,1674641829,Yes
Holten,hon001,6,1688566571,Yes
Boskoop,bk001,3,1683629913,Yes
Breda Prinsenbeek,bdpb001,1,1688566571,Yes
Zwolle,zl004,186,1688566571,Yes
Baarn,brn002,21,1688566571,Yes
Nijmegen,nm001,46,1688566571,Yes
Bovenkarspel-Grootebroek,bkg001,4,1688566571,Yes
Dieren,dr001,2,1688566571,Yes
Zeist,db002,23,1688566571,Yes
Driebergen-Zeist,db001,111,1688566571,Yes
Echt,ec001,4,1688566571,Yes
Lelystad Centrum,lls003,7,1688566571,Yes
Middelburg,mdb002,19,1688566571,Yes
Raalte,rat001,1,1688566571,Yes
Dalfsen,dl001,0,1688566571,Yes
Rotterdam Slinge,rtd904,3,1688566571,Yes
Boxmeer,Bmr001,8,1688566571,Yes
Pijnacker,rtd906,4,1688566571,Yes
Veenendaal,vndc002,2,1659359068,Yes
Nunspeet,Ns001,4,1688566571,Unknown
Voorhout,vh001,4,1688566571,Yes
Maastricht Noord,mtn001,8,1688566571,Yes
Doetinchem de Huet,dtch001,5,1688566571,Yes
Delden,ddn001,2,1688566571,Yes
Muiden P&R,wp901,4,1688566571,Yes
't Harde,Hde001,1,1688566571,Yes
Hengelo Gezondheidspark,hglg001,2,1688566571,Yes
Bodegraven,bdg001,0,1688566571,Yes
Utrecht Overvecht,uto001,12,1688566571,Yes
Hilversum Sportpark ,hvsp001,10,1688566571,Yes
Delft Zuid,dtz001,,1688566571,Yes
Vught,Vg001,6,1688566571,Yes
Amsterdam Zuid Zuidplein,asdz001,84,1688566571,Yes
Heemskerk,hk001,3,1688566571,Yes
Amsterdam Zuid Mahlerplein,asdz003,58,1688566571,Yes
Utrecht Vaartsche Rijn Oosterkade,UTVR002,0,1688566571,Yes
Utrecht Zuilen,utzl001,8,1688566571,Yes
Alphen aan den Rijn,apn001,16,1688566571,Yes
Rotterdam Blaak,rtb001,4,1688566571,Yes
Vriezenveen,vz001,3,1688566571,Yes
Zwijndrecht,zwd003,26,1688566571,Yes
OV-ebike Driebergen-Zeist,db003,19,1688566571,Yes
Eindhoven Noordzijde,ehv003,43,1688566571,Yes
Eindhoven Zuidzijde (centrum),ehv002,76,1688566571,Yes
Winschoten,ws001,4,1688566571,Yes
Veghel,Btl003,7,1688566571,Yes
Naarden-Bussum,ndb002,44,1674039176,Yes
Naarden-Bussum,ndb003,39,1688566571,Yes
Woerden,wd001,30,1688566571,Yes
s-Hertogenbosch,ht001,146,1688566571,Yes
Baarn,brn001,,1666857504,Yes
Overveen,ovn001,1,1688566571,Yes
Waalwijk,ht002,4,1688566571,Yes
Maarssen,mas003,23,1688566571,Yes
Kerkrade Centrum,krd001,4,1688566571,Yes
Venray,vry001,22,1688566571,Yes
Eindhoven Strijp-S,ehb001,1,1683629913,Yes
Veenendaal West,vndw001,7,1688566571,Yes
Aalten,atn001,5,1688566571,Yes
Haarlem Fiets Inn,hlm002,232,1688566571,Yes
Bilthoven,bhv002,21,1688566571,Yes
Purmerend,pmr001,4,1688566571,Yes
Bilthoven,bhv001,,1666857504,Yes
Hardenberg,hdb001,1,1688566571,Yes
Beverwijk,bv002,45,1688566571,Yes
Boxtel,btl001,15,1688566571,Yes
Hoogezand Sappemeer,Hgz001,2,1688566571,Yes
Heerhugowaard,hwd002,23,1667896108,Yes
Amersfoort Vathorst,avat001,3,1688566571,Yes
Roermond,rm001,34,1688566571,Yes
Krommenie-Assendelft,kma001,2,1688566571,Yes
Heerlen,hrl001,29,1678868445,Yes
Schiphol,shl001,3,1688566571,Yes
Rosmalen,rs001,3,1688566571,Yes
Utrecht P+R Science Park (De Uithof) ZS,ut908,10,1666164653,Yes
Vianen OV-fiets Carrousel,ut905,21,1688566571,Yes
Utrecht P+R Papendorp,ut904,3,1688566571,Yes
Utrecht Stadhuis,ut003,8,1677604114,Yes
P + R Utrecht Science Park (De Uithof),ut906,9,1688566571,Yes
Hengelo,hgl001,,1675688931,Yes
Arnhem Centrum,ah001,141,1688566571,Yes
Utrecht Rijnsweerd,ut903,10,1688566571,Yes
Alkmaar,amr001,87,1688566571,Yes
Vlaardingen Centrum,vdg001,,1642524080,Yes
Rotterdam Centraal,rtd001,398,1688566571,Yes
Tilburg West Universiteit,tbu001,0,1688566571,Yes
Sittard,std002,25,1688566571,Yes
"Leiden Centraal, Centrumzijde",ledn002,34,1688566571,Yes
Gouda Goverwelle,gdg001,1,1688566571,Yes
Den Haag Laan van NOI,laa001,1,1688566571,Yes
Alkmaar Noord,amrn002,25,1688566571,Yes
Zandvoort,zvt001,13,1688566571,Yes
Uitgeest,utg001,0,1688566571,Yes
Alkmaar Noord,amrn003,29,1667467212,Yes
Den Helder,hdr003,6,1667896108,Yes
Nootdorp,gvc901,1,1688566571,Yes
Houten,htn001,53,1688566571,Yes
Steenwijk,swk002,3,1688566571,Yes
Lage Zwaluwe,Zlw001,4,1688566571,Yes
Hoogeveen,hgv002,23,1679582772,Yes
Zutphen,zp001,55,1688566571,Yes
Zwolle Hanzeland,zl003,20,1688566571,Yes
Breda Centrum,Bd003,126,1688566571,Yes
Den Haag Mariahoeve,gvm001,0,1688566571,Yes
Zaltbommel,zbm001,25,1677765289,Yes
Barneveld Noord,bnn001,2,1688566571,Yes
Almere Centrum Landdrostdreef,alm001,59,1688566571,Yes
Zaltbommel,zbm002,19,1688566571,Yes
Schiedam,sdm001,12,1688566571,Yes
Zoetermeer Centrum West,ztm002,16,1688566571,Yes
Borne,bn001,6,1688566571,Yes
Zevenbergen,Zvb001,3,1688566571,Yes
Driehuis,drh001,6,1688566571,Yes
Helmond Brouwhuis,hmbh001,0,1688566571,Yes
Amsterdam Centraal Stationsplein,asd010,259,1688566571,Yes
Nijmegen Heyendaal,nmh001,0,1688566571,Yes
Barendrecht,brd002,19,1688566571,Yes
Rheden,rh001,6,1688566571,Yes
Barendrecht,brd001,29,1675240492,Yes
Bergen op Zoom,bgn002,14,1688566571,Yes
Breda Belcrum,bd002,84,1688566571,Yes
Amsterdam Centraal IJzijde,asd008,318,1688566571,Yes
Amsterdam Noord,asd009,12,1688566571,Yes
Obdam,obd001,4,1688566571,Yes
Tiel,tl003,18,1688566571,Yes
Tiel,tl002,26,1677765289,Yes
Amsterdam Centraal Oost,asd002,132,1688566571,Yes
Santpoort Noord,sptn001,7,1688566571,Yes
Oss West,ow001,7,1688566571,Yes
Tilburg Zuid,tb003,11,1688566571,Yes
Groningen,gn001,491,1688566571,Yes
Groningen P+R Hoogkerk,gn002,,1667985514,Yes
Groningen P+R Kardinge,gn003,6,1667985514,Yes
Utrecht Lunetten,utl001,1,1688566571,Yes
Enschede,es002,25,1679582772,Yes
OV-fiets - Maastricht,mt001,135,1688566571,Yes
OV-ebike Maastricht,mt003,,1688566571,Yes
Putten,pt001,0,1688566571,Yes
Houten Castellum,htnc001,31,1688566571,Yes
Heerenveen,hr001,8,1668506290,Yes
Kampen,kpn002,29,1668679584,Yes
Veendam,Vdm001,1,1688566571,Yes
Didam,did001,5,1688566571,Yes
Gouda,gd001,123,1688566571,Yes
Heemstede-Aerdenhout,had002,24,1688566571,Yes
Rotterdam Fietspunt Wilhelminakade Prinsendam,Rtd003,7,1688566571,Yes
Rotterdam Fietspunt Marconiplein,Rtd004,7,1688566571,Yes
Enkhuizen,ekz001,15,1688566571,Unknown
Hellendoorn/Nijverdal OV-fiets Carrousel,nvd001,17,1688566571,Yes
Goor,go001,3,1688566571,Yes
Sleeuwijk Tol West,GR002 ,3,1688566571,Yes
Barneveld Centrum,bnc001,4,1688566571,Yes
