description,locationCode,rentalBikes,fetchTime,type,open
Utrecht Terwijde,utt001,3,1713333245,OV_FIETS,Yes
Brummen,bmn001,6,1713333245,OV_FIETS,Yes
Ermelo,eml001,2,1713333245,OV_FIETS,Unknown
Ravenstein,Rvs001,5,1713333245,OV_FIETS,Yes
Utrecht Vaartsche Rijn Oosterkade,UTVR001,98,1713333245,OV_FIETS,Yes
Nijmegen Goffert,nmgo001,0,1713333245,OV_FIETS,Yes
Lochem,lc001,6,1713333245,OV_FIETS,Yes
Bergen op Zoom,bgn002,16,1713333245,OV_FIETS,Yes
Oldenzaal,odz001,4,1713333245,OV_FIETS,Yes
Cuijk,ck001,14,1713333245,OV_FIETS,Yes
Veenendaal-De klomp,klp001,20,1713333245,OV_FIETS,Yes
Vroomshoop,vhp001,4,1713333245,OV_FIETS,Yes
Best,bet001,19,1713333245,OV_FIETS,Yes
Winterswijk,ww001,5,1713333245,OV_FIETS,Yes
Amsterdam Bijlmer ArenA,asb003,0,1695282760,OV_FIETS,Yes
Boxtel - Kluis,btl004,4,1713333245,OV_FIETS,Yes
Zuidhorn,Zh001,7,1713333245,OV_FIETS,Yes
Houten Castellum,htnc001,39,1713333245,OV_FIETS,Yes
Voorhout,vh001,1,1713333245,OV_FIETS,Yes
Tilburg Reeshof,tbr001,0,1713333245,OV_FIETS,Yes
Harderwijk,hd001,55,1713333245,OV_FIETS,Yes
Utrecht P+R Westraven,ut007,15,1713333245,OV_FIETS,Yes
Den Haag HS,gv001,67,1713333245,OV_FIETS,Yes
Heerhugowaard,hwd003,23,1713333245,OV_FIETS,Yes
Openbare fietsenstalling gemeente Groningen : Fietsenstalling Europapark,gerp002,13,1713333245,OV_FIETS,Yes
Deventer Boerhavelaan,dv003,20,1713333245,OV_FIETS,Yes
Uden,Ow002,7,1713333245,OV_FIETS,Yes
Deventer,dv001,131,1713333245,OV_FIETS,Yes
"Leiden Centraal, Centrumzijde",ledn002,42,1713333245,OV_FIETS,Yes
Helmond Brandevoort,hmbv001,2,1713333245,OV_FIETS,Yes
Den Helder Zuid,hdrz001,3,1713333245,OV_FIETS,Yes
Castricum,cas002,52,1713333245,OV_FIETS,Yes
Sneek,sk001,6,1713333245,OV_FIETS,Yes
Geldrop,Gp001,4,1713333245,OV_FIETS,Yes
Oudenbosch,odb001,5,1713333245,OV_FIETS,Yes
Anna Paulowna,ana001,6,1713333245,OV_FIETS,Yes
Goes,gs003,19,1713333245,OV_FIETS,Yes
Amersfoort Schothorst,amfs001,24,1713333245,OV_FIETS,Yes
Roosendaal,rsd002,44,1713333245,OV_FIETS,Yes
OV-ebike Arnhem Centrum,ah003,15,1713333245,OV_FIETS,Yes
Gilze Rijen,gz001,2,1713333245,OV_FIETS,Yes
Halfweg Zwanenburg,hwzb001,3,1713333245,OV_FIETS,Yes
Hoorn Kersenboogerd,hnk001,3,1713333245,OV_FIETS,Yes
Hoorn,hn001,57,1713333245,OV_FIETS,Yes
Rotterdam Kralingse Zoom,Rta003,11,1713333245,OV_FIETS,Yes
Boskoop,bsk001,3,1713333245,OV_FIETS,Yes
Rijssen,rsn001,9,1713333245,OV_FIETS,Yes
Venlo,vl001,55,1713333245,OV_FIETS,Yes
Ommen,omn001,7,1713333245,OV_FIETS,Yes
Culemborg,cl003,26,1713333245,OV_FIETS,Yes
Groningen Noord,Gnn001,0,1713333245,OV_FIETS,Yes
Eindhoven Strijp-S,ehs001,0,1713333245,OV_FIETS,Yes
Haarlem Spaarnwoude,hlms001,3,1713333245,OV_FIETS,Yes
Voorburg,vb002,30,1713333245,OV_FIETS,Yes
Soest Zuid,stz001,6,1713333245,OV_FIETS,Yes
Haren,HRN002,5,1713333245,OV_FIETS,Unknown
Hollandse Rading OV-fiets Carrousel,hor001,26,1713333245,OV_FIETS,Yes
Maarheeze,mz001,2,1713333245,OV_FIETS,Yes
Maastricht Randwyck,mtr001,6,1713333245,OV_FIETS,Yes
Amsterdam Muiderpoort,asdm001,49,1713333245,OV_FIETS,Yes
Dieren,dr001,3,1713333245,OV_FIETS,Yes
Wolfheze,wf001,3,1713333245,OV_FIETS,Yes
Meerssen,mes001,4,1713333245,OV_FIETS,Yes
Dordrecht,ddr001,54,1713333245,OV_FIETS,Yes
Maassluis,mss001,9,1713333245,OV_FIETS,Yes
Weesp,wp001,40,1713333245,OV_FIETS,Yes
Vierlingsbeek,vlb001,6,1713333245,OV_FIETS,Yes
Amsterdam Sloterdijk,ass001,132,1713333245,OV_FIETS,Yes
Gorinchem,gr001,5,1713333245,OV_FIETS,Yes
Rotterdam Alexander,rta001,2,1713333245,OV_FIETS,Yes
Valkenburg,vk001,7,1713333245,OV_FIETS,Yes
Almelo,aml002,25,1713333245,OV_FIETS,Yes
Bloemendaal,bll001,1,1713333245,OV_FIETS,Yes
Etten-Leur,etn001,5,1713333245,OV_FIETS,Yes
Heiloo,hlo001,8,1713333245,OV_FIETS,Yes
"Leiden Centraal,Uitgang LUMC",ledn001,163,1713333245,OV_FIETS,Yes
Purmerend Overwhere,pmo001,1,1713333245,OV_FIETS,Yes
Lelystad Centrum,lls003,6,1713333245,OV_FIETS,Yes
Utrecht Centraal Jaarbeursplein,ut016,418,1713333245,OV_FIETS,Yes
Zwolle Hanzeland,zl003,28,1713333245,OV_FIETS,Yes
Holten,hon001,4,1713333245,OV_FIETS,Yes
Wijhe,wh001,5,1713333245,OV_FIETS,Yes
Breda Prinsenbeek,bdpb001,6,1713333245,OV_FIETS,Yes
Zwolle,zl004,271,1713333245,OV_FIETS,Yes
Nijmegen,nm001,274,1713333245,OV_FIETS,Yes
Bovenkarspel-Grootebroek,bkg001,3,1713333245,OV_FIETS,Yes
OV-ebike Driebergen-Zeist,db003,23,1713333245,OV_FIETS,Yes
Zeist,db002,22,1713333245,OV_FIETS,Yes
Driebergen-Zeist,db001,125,1713333245,OV_FIETS,Yes
Echt,ec001,4,1713333245,OV_FIETS,Yes
Raalte,rat001,3,1713333245,OV_FIETS,Yes
Dalfsen,dl001,3,1713333245,OV_FIETS,Yes
Rotterdam Slinge,rtd904,3,1713333245,OV_FIETS,Yes
Boxmeer,Bmr001,13,1713333245,OV_FIETS,Yes
Pijnacker,rtd906,1,1713333245,OV_FIETS,Yes
Veenendaal Centrum,vndc002,0,1713333245,OV_FIETS,Yes
Nunspeet,Ns001,3,1713333245,OV_FIETS,Unknown
Maastricht Noord,mtn001,5,1713333245,OV_FIETS,Yes
Doetinchem de Huet,dtch001,9,1713333245,OV_FIETS,Yes
Utrecht Janskerkhof,ut018,8,1713333245,OV_FIETS,Yes
Delden,ddn001,4,1713333245,OV_FIETS,Yes
Muiden P&R,wp901,5,1713333245,OV_FIETS,Yes
Lage Zwaluwe,Zlw001,6,1713333245,OV_FIETS,Yes
Hengelo Gezondheidspark,hglg001,5,1713333245,OV_FIETS,Yes
Bodegraven,bdg001,6,1713333245,OV_FIETS,Yes
Utrecht Overvecht,uto001,20,1713333245,OV_FIETS,Yes
Soestdijk,sd001,3,1713333245,OV_FIETS,Yes
Delft Zuid,dtz001,,1713333245,OV_FIETS,Yes
Vught,Vg001,8,1713333245,OV_FIETS,Yes
Amsterdam Zuid Zuidplein,asdz001,202,1713333245,OV_FIETS,Yes
Heemskerk,hk001,9,1713333245,OV_FIETS,Yes
Amsterdam Zuid Mahlerplein,asdz003,148,1713333245,OV_FIETS,Yes
Utrecht Vaartsche Rijn Oosterkade,UTVR002,0,1700488276,OV_FIETS,Yes
Utrecht Zuilen,utzl001,6,1713333245,OV_FIETS,Yes
Alphen aan den Rijn,apn001,32,1713333245,OV_FIETS,Yes
Rotterdam Blaak,rtb001,10,1713333245,OV_FIETS,Yes
Vriezenveen,vz001,4,1713333245,OV_FIETS,Yes
Zwijndrecht,zwd003,23,1713333245,OV_FIETS,Yes
Eindhoven OV-fiets PopUp (naast AH),ehv004,34,1698620813,OV_FIETS,Yes
Eindhoven Noordzijde,ehv003,67,1713333245,OV_FIETS,Yes
Eindhoven Zuidzijde (centrum),ehv002,81,1713333245,OV_FIETS,Yes
Winschoten,ws001,6,1713333245,OV_FIETS,Yes
Overveen,ovn001,1,1713333245,OV_FIETS,Yes
Veghel,Btl003,4,1713333245,OV_FIETS,Yes
Naarden-Bussum,ndb003,51,1713333245,OV_FIETS,Yes
Woerden,wd001,48,1713333245,OV_FIETS,Yes
s-Hertogenbosch,ht001,230,1713333245,OV_FIETS,Yes
Baarn,brn002,30,1713333245,OV_FIETS,Yes
Waalwijk,ht002,6,1713333245,OV_FIETS,Yes
Kerkrade Centrum,krd001,4,1713333245,OV_FIETS,Yes
Veenendaal West,vndw001,8,1713333245,OV_FIETS,Yes
Aalten,atn001,8,1713333245,OV_FIETS,Yes
Haarlem Fiets Inn,hlm002,246,1713333245,OV_FIETS,Yes
Bilthoven,bhv002,26,1713333245,OV_FIETS,Yes
Purmerend,pmr001,2,1713333245,OV_FIETS,Yes
Hardenberg,hdb001,6,1713333245,OV_FIETS,Yes
Utrecht Centraal Knoop,ut021,223,1713333245,OV_FIETS,Yes
Beverwijk,bv002,55,1713333245,OV_FIETS,Yes
Boxtel,btl001,20,1713333245,OV_FIETS,Yes
Hoogezand Sappemeer,Hgz001,8,1713333245,OV_FIETS,Yes
Santpoort Noord,sptn001,7,1713333245,OV_FIETS,Yes
Amersfoort Vathorst,avat001,1,1713333245,OV_FIETS,Yes
Roermond,rm001,56,1713333245,OV_FIETS,Yes
Krommenie-Assendelft,kma001,1,1713333245,OV_FIETS,Yes
Heerlen,hrl002,21,1713333245,OV_FIETS,Yes
Rosmalen,rs001,11,1713333245,OV_FIETS,Yes
Vianen OV-fiets ,ut905,16,1713333245,OV_FIETS,Yes
Utrecht P+R Papendorp,ut904,4,1713333245,OV_FIETS,Yes
P + R Utrecht Science Park (De Uithof),ut906,7,1713333245,OV_FIETS,Yes
Arnhem Centrum,ah001,300,1713333245,OV_FIETS,Yes
Hoofddorp,hfd002,45,1713333245,OV_FIETS,Yes
Alkmaar,amr001,113,1713333245,OV_FIETS,Yes
Schagen,sgn001,19,1713333245,OV_FIETS,Yes
Rotterdam Centraal,rtd001,581,1713333245,OV_FIETS,Yes
Tilburg West Universiteit,tbu001,9,1713333245,OV_FIETS,Yes
Gouda Goverwelle,gdg001,3,1713333245,OV_FIETS,Yes
Den Haag Laan van NOI,laa001,2,1713333245,OV_FIETS,Yes
"Delft, Fietsenstalling",dt002,252,1713333245,OV_FIETS,Yes
Uitgeest,utg001,3,1713333245,OV_FIETS,Yes
Den Helder,hdr002,8,1713333245,OV_FIETS,Yes
Alkmaar Noord,amrn002,29,1713333245,OV_FIETS,Yes
Nootdorp,gvc901,0,1713333245,OV_FIETS,Yes
Houten,htn001,52,1713333245,OV_FIETS,Yes
Steenwijk,swk002,10,1713333245,OV_FIETS,Yes
Hoogeveen,hgv003,30,1713333245,OV_FIETS,Yes
Zutphen,zp001,89,1713333245,OV_FIETS,Yes
Breda Centrum,Bd003,92,1713333245,OV_FIETS,Yes
Den Haag Mariahoeve,gvm001,2,1713333245,OV_FIETS,Yes
Venray,vry001,21,1713333245,OV_FIETS,Yes
Barneveld Noord,bnn001,6,1713333245,OV_FIETS,Yes
Zaltbommel,zbm002,19,1713333245,OV_FIETS,Yes
Schiedam,sdm001,21,1713333245,OV_FIETS,Yes
Zoetermeer Centrum West,ztm002,19,1713333245,OV_FIETS,Yes
Borne,bn001,6,1713333245,OV_FIETS,Yes
Zevenbergen,Zvb001,7,1713333245,OV_FIETS,Yes
Driehuis,drh001,8,1713333245,OV_FIETS,Yes
Helmond Brouwhuis,hmbh001,1,1713333245,OV_FIETS,Yes
Nijmegen Heyendaal,nmh001,2,1713333245,OV_FIETS,Yes
Barendrecht,brd002,21,1713333245,OV_FIETS,Yes
Rheden,rh001,3,1713333245,OV_FIETS,Yes
Den Haag Centraal Koningin Julianaplein,gvc021,0,1695722302,OV_FIETS,Yes
Breda Belcrum,bd002,206,1713333245,OV_FIETS,Yes
Amsterdam Centraal IJzijde,asd008,306,1713333245,OV_FIETS,Yes
Amsterdam Noord,asd009,14,1713333245,OV_FIETS,Yes
Obdam,obd001,5,1713333245,OV_FIETS,Yes
Tiel,tl003,27,1713333245,OV_FIETS,Yes
OV-ebike Groningen,gn004,13,1713333245,OV_FIETS,Yes
Oss West,ow001,4,1713333245,OV_FIETS,Yes
Groningen,gn001,547,1713333245,OV_FIETS,Yes
Emmen,emn001,18,1713333245,OV_FIETS,Yes
Utrecht Lunetten,utl001,0,1713333245,OV_FIETS,Yes
Zandvoort,zvt001,23,1713333245,OV_FIETS,Yes
OV-fiets - Maastricht,mt001,172,1713333245,OV_FIETS,Yes
OV-ebike Maastricht,mt003,27,1713333245,OV_FIETS,Yes
Putten,pt001,5,1713333245,OV_FIETS,Yes
Heerenveen,hr002,,1713333245,OV_FIETS,Yes
Kampen,kpn003,24,1713333245,OV_FIETS,Yes
Veendam,Vdm001,9,1713333245,OV_FIETS,Yes
Didam,did001,4,1713333245,OV_FIETS,Yes
Gouda,gd001,127,1713333245,OV_FIETS,Yes
Heemstede-Aerdenhout,had002,6,1713333245,OV_FIETS,Yes
Rotterdam Fietspunt Wilhelminakade Prinsendam,Rtd003,7,1713333245,OV_FIETS,Yes
Rotterdam Fietspunt Marconiplein,Rtd004,5,1713333245,OV_FIETS,Yes
Enkhuizen,ekz001,17,1713333245,OV_FIETS,Unknown
Hellendoorn/Nijverdal OV-fiets Carrousel,nvd001,16,1713333245,OV_FIETS,Yes
Horst Sevenum,hrt001,6,1713333245,OV_FIETS,Yes
Goor,go001,3,1713333245,OV_FIETS,Yes
Sleeuwijk Tol West,GR002 ,3,1713333245,OV_FIETS,Yes
Barneveld Centrum,bnc001,5,1713333245,OV_FIETS,Yes
Zoetermeer Oost,ztmo001,3,1713333245,OV_FIETS,Yes
Oisterwijk,Ot001,4,1713333245,OV_FIETS,Yes
Duivendrecht,dvd001,1,1713333245,OV_FIETS,Yes
Helmond 't Hout,hmh001,3,1713333245,OV_FIETS,Yes
Dronten,DRON001,2,1713333245,OV_FIETS,Yes
Pijnacker Zuid,rtd907,4,1713333245,OV_FIETS,Yes
Utrecht Leidsche Rijn,utlr001,8,1713333245,OV_FIETS,Yes
Amsterdam Bijlmer ArenA,asb002,20,1713333245,OV_FIETS,Yes
Sittard,std002,29,1713333245,OV_FIETS,Yes
Diemen,dmn001,2,1713333245,OV_FIETS,Yes
Amsterdam Centraal Stationsplein,asd010,411,1713333245,OV_FIETS,Yes
Zevenaar,zv001,5,1713333245,OV_FIETS,Yes
Hoogkarspel,hks001,2,1713333245,OV_FIETS,Yes
Westervoort,wtv001,10,1713333245,OV_FIETS,Yes
Bussum Zuid,bsmz001,4,1713333245,OV_FIETS,Yes
Amsterdam RAI,rai001,38,1713333245,OV_FIETS,Yes
Velp,vp001,5,1713333245,OV_FIETS,Yes
Leeuwarden,lw001,138,1713333245,OV_FIETS,Yes
Bunnik,bnk001,21,1713333245,OV_FIETS,Yes
Meppel,mp002,21,1713333245,OV_FIETS,Yes
Amsterdam Amstel,asa001,183,1713333245,OV_FIETS,Yes
Weert,wt003,24,1713333245,OV_FIETS,Yes
Ede-Wageningen Zuidzijde,ed001,172,1710712243,OV_FIETS,Yes
Oss,o002,16,1713333245,OV_FIETS,Yes
Delfzijl,Dz001,5,1713333245,OV_FIETS,Yes
Otterlo,ed901,19,1713333245,OV_FIETS,Yes
Winsum,Wsm001,4,1713333245,OV_FIETS,Yes
Schiphol,shl001,2,1713333245,OV_FIETS,Yes
Geldermalsen,gdm001,2,1713333245,OV_FIETS,Yes
Amsterdam Centraal Oost,asd002,159,1713333245,OV_FIETS,Yes
Vleuten,vtn001,3,1713333245,OV_FIETS,Yes
Hilversum,hvs001,216,1713333245,OV_FIETS,Yes
't Harde,Hde001,4,1713333245,OV_FIETS,Yes
Duiven ,dvn001,18,1713333245,OV_FIETS,Yes
Terborg,tbg001,6,1713333245,OV_FIETS,Yes
Den Haag Centraal Stichthage,gvc001,588,1713333245,OV_FIETS,Yes
Varsseveld,vsv001,3,1713333245,OV_FIETS,Yes
Santpoort Zuid,sptz001,8,1713333245,OV_FIETS,Yes
Tilburg Zuid,tb003,201,1713333245,OV_FIETS,Yes
